file_path,current_label,cnn_prediction,cnn_confidence,mnv2_prediction,mnv2_confidence,판정,검토자,검토일,비고,엄격검증_기준
DDG/DDG_1006.jpeg,DDG,Recreational,0.927,Recreational,1.0,라벨 정확,이재혁,2026-09-05,해상 기동 중인 회색 군함으로 전방 함포·레이더 마스트·전투함 상부구조가 확인됨,"실제 이미지의 시각 특징으로 기존 라벨을 확인하며, 특히 DDG처럼 세부 함종을 외형만으로 확정하기 어려운 경우 판단 보류 처리"
DDG/DDG_1058.jpeg,DDG,Recreational,0.752,Recreational,0.709,라벨 정확,이재혁,2026-09-05,"전형적인 회색 군함 선체와 다수 안테나·마스트, 전방 무장 구조가 보여 구축함형 전투함과 부합","실제 이미지의 시각 특징으로 기존 라벨을 확인하며, 특히 DDG처럼 세부 함종을 외형만으로 확정하기 어려운 경우 판단 보류 처리"
DDG/DDG_8.jpeg,DDG,Recreational,0.725,Recreational,0.938,라벨 정확,이재혁,2026-09-05,군함 번호가 표시된 회색 수상전투함이며 전방 함포와 대형 레이더 마스트가 확인되어 DDG 범주와 부합,"실제 이미지의 시각 특징으로 기존 라벨을 확인하며, 특히 DDG처럼 세부 함종을 외형만으로 확정하기 어려운 경우 판단 보류 처리"
Sailboat/Sailboat_1010.jpeg,Sailboat,Recreational,1.0,Recreational,0.968,라벨 정확,이재혁,2026-09-05,복수 마스트에 여러 장의 돛을 펼친 대형 범선으로 추진·외형 특징이 Sailboat와 명확히 일치,"실제 이미지의 시각 특징으로 기존 라벨을 확인하며, 특히 DDG처럼 세부 함종을 외형만으로 확정하기 어려운 경우 판단 보류 처리"
Sailboat/Sailboat_1031.jpeg,Sailboat,Recreational,1.0,Recreational,0.707,라벨 정확,이재혁,2026-09-05,상공 시점에서 여러 개의 돛과 마스트를 갖춘 범선이 확인되어 Sailboat 특징과 일치,"실제 이미지의 시각 특징으로 기존 라벨을 확인하며, 특히 DDG처럼 세부 함종을 외형만으로 확정하기 어려운 경우 판단 보류 처리"
Sailboat/Sailboat_1043.jpeg,Sailboat,Recreational,1.0,Recreational,0.995,라벨 정확,이재혁,2026-09-05,다수의 사각돛과 높은 마스트를 가진 전통 범선 형상이 뚜렷해 Sailboat와 일치,"실제 이미지의 시각 특징으로 기존 라벨을 확인하며, 특히 DDG처럼 세부 함종을 외형만으로 확정하기 어려운 경우 판단 보류 처리"
Sailboat/Sailboat_1048.jpeg,Sailboat,Recreational,1.0,Recreational,0.993,라벨 정확,이재혁,2026-09-05,복수 마스트와 흰색 돛을 펼친 대형 범선이 확인되어 Sailboat와 일치,"실제 이미지의 시각 특징으로 기존 라벨을 확인하며, 특히 DDG처럼 세부 함종을 외형만으로 확정하기 어려운 경우 판단 보류 처리"
Sailboat/Sailboat_1001.jpeg,Sailboat,Recreational,0.999,Recreational,0.995,라벨 정확,이재혁,2026-09-05,"대형 마스트와 다수의 흰색 돛, 범선형 선체가 뚜렷하여 Sailboat와 일치","실제 이미지의 시각 특징으로 기존 라벨을 확인하며, 특히 DDG처럼 세부 함종을 외형만으로 확정하기 어려운 경우 판단 보류 처리"
Sailboat/Sailboat_1005.jpeg,Sailboat,Recreational,0.999,Recreational,0.973,라벨 정확,이재혁,2026-09-05,여러 척의 전통 범선과 다수의 돛·마스트가 명확히 보이므로 Sailboat 범주와 일치,"실제 이미지의 시각 특징으로 기존 라벨을 확인하며, 특히 DDG처럼 세부 함종을 외형만으로 확정하기 어려운 경우 판단 보류 처리"
Sailboat/Sailboat_1032.jpeg,Sailboat,Recreational,0.999,Recreational,0.96,라벨 정확,이재혁,2026-09-05,복수 마스트와 삼각형·사각형 돛을 펼친 범선으로 Sailboat 특징과 일치,"실제 이미지의 시각 특징으로 기존 라벨을 확인하며, 특히 DDG처럼 세부 함종을 외형만으로 확정하기 어려운 경우 판단 보류 처리"
Sailboat/Sailboat_1018.jpeg,Sailboat,Recreational,0.966,Recreational,0.855,라벨 정확,이재혁,2026-09-05,여러 개의 높은 마스트와 층층이 배치된 돛을 가진 대형 범선이 확인되어 Sailboat와 일치,"실제 이미지의 시각 특징으로 기존 라벨을 확인하며, 특히 DDG처럼 세부 함종을 외형만으로 확정하기 어려운 경우 판단 보류 처리"
Sailboat/Sailboat_1042.jpeg,Sailboat,Bulkers,0.962,Bulkers,0.951,라벨 정확,이재혁,2026-09-05,회화 이미지이지만 다수의 마스트와 대형 돛을 갖춘 전통 범선이 명확하여 Sailboat와 일치,"실제 이미지의 시각 특징으로 기존 라벨을 확인하며, 특히 DDG처럼 세부 함종을 외형만으로 확정하기 어려운 경우 판단 보류 처리"
Submarine/Submarine_1021.jpeg,Submarine,Recreational,0.927,Recreational,0.831,라벨 정확,이재혁,2026-09-05,수면 위 낮게 드러난 유선형 원통 선체와 중앙 세일(함교탑)이 뚜렷해 잠수함 특징과 일치,"실제 이미지의 시각 특징으로 기존 라벨을 확인하며, 특히 DDG처럼 세부 함종을 외형만으로 확정하기 어려운 경우 판단 보류 처리"
Tug/Tug_1004.jpeg,Tug,Recreational,1.0,Recreational,0.994,라벨 정확,이재혁,2026-09-05,"짧고 넓은 작업선 선체, 높은 조타실과 선측 고무 방현재가 확인되어 예인선 특징과 일치","실제 이미지의 시각 특징으로 기존 라벨을 확인하며, 특히 DDG처럼 세부 함종을 외형만으로 확정하기 어려운 경우 판단 보류 처리"
Tug/Tug_1029.jpeg,Tug,Recreational,1.0,Recreational,0.935,라벨 정확,이재혁,2026-09-05,소형 작업선에 높은 조타실과 선체 둘레의 타이어형 방현재가 보여 Tug 특징과 일치,"실제 이미지의 시각 특징으로 기존 라벨을 확인하며, 특히 DDG처럼 세부 함종을 외형만으로 확정하기 어려운 경우 판단 보류 처리"
Tug/Tug_1033.jpeg,Tug,Recreational,1.0,Recreational,0.998,라벨 정확,이재혁,2026-09-05,"짧은 선체와 높은 조타실, 두꺼운 선측 방현재를 갖춘 전형적인 예인선 형상과 일치","실제 이미지의 시각 특징으로 기존 라벨을 확인하며, 특히 DDG처럼 세부 함종을 외형만으로 확정하기 어려운 경우 판단 보류 처리"
Tug/Tug_1013.jpeg,Tug,Recreational,0.998,Recreational,0.767,라벨 정확,이재혁,2026-09-05,"소형 작업선 선체와 높은 조타실, 선측 펜더·작업 갑판이 확인되어 Tug 특징과 일치","실제 이미지의 시각 특징으로 기존 라벨을 확인하며, 특히 DDG처럼 세부 함종을 외형만으로 확정하기 어려운 경우 판단 보류 처리"
Tug/Tug_1021.jpeg,Tug,Recreational,0.992,Recreational,0.766,라벨 정확,이재혁,2026-09-05,"짧고 넓은 소형 선체, 높은 조타실과 검은 방현재가 뚜렷해 예인선과 일치","실제 이미지의 시각 특징으로 기존 라벨을 확인하며, 특히 DDG처럼 세부 함종을 외형만으로 확정하기 어려운 경우 판단 보류 처리"
Tug/Tug_1020.jpeg,Tug,Bulkers,0.957,Bulkers,0.984,라벨 정확,이재혁,2026-09-05,소형 예인 작업선의 높은 조타실과 선체 주위 타이어형 펜더가 확인되어 Tug와 일치,"실제 이미지의 시각 특징으로 기존 라벨을 확인하며, 특히 DDG처럼 세부 함종을 외형만으로 확정하기 어려운 경우 판단 보류 처리"
Tug/Tug_1010.jpeg,Tug,Recreational,0.945,Recreational,0.753,라벨 정확,이재혁,2026-09-05,검은 선체의 소형 작업선으로 높은 조타실과 두꺼운 방현재가 보여 Tug 특징과 일치,"실제 이미지의 시각 특징으로 기존 라벨을 확인하며, 특히 DDG처럼 세부 함종을 외형만으로 확정하기 어려운 경우 판단 보류 처리"
Tug/Tug_1005.jpeg,Tug,Recreational,0.905,Recreational,0.97,라벨 정확,이재혁,2026-09-05,"짧은 선체, 높은 조타실과 선측 고무 펜더가 뚜렷하여 예인선 특징과 일치","실제 이미지의 시각 특징으로 기존 라벨을 확인하며, 특히 DDG처럼 세부 함종을 외형만으로 확정하기 어려운 경우 판단 보류 처리"
Tug/Tug_1031.jpeg,Tug,Bulkers,0.783,Bulkers,0.99,라벨 정확,이재혁,2026-09-05,소형 작업선의 높은 조타실과 선체 둘레 다수의 타이어형 방현재가 명확하여 Tug와 일치,"실제 이미지의 시각 특징으로 기존 라벨을 확인하며, 특히 DDG처럼 세부 함종을 외형만으로 확정하기 어려운 경우 판단 보류 처리"
Aircraft Carrier/Aircraft Carrier_1009.jpeg,Aircraft Carrier,Recreational,1,Recreational,0.954,라벨 정확,김태희,2026-09-05,"넓고 평평한 비행갑판, 함재기와 측면 아일랜드 상부구조가 뚜렷해 항공모함과 일치","실제 이미지의 시각 특징으로 기존 라벨을 확인하며, 특히 DDG처럼 세부 함종을 외형만으로 확정하기 어려운 경우 판단 보류 처리"
Aircraft Carrier/Aircraft Carrier_1012.jpeg,Aircraft Carrier,Recreational,1,Recreational,0.962,라벨 정확,김태희,2026-09-05,대형 비행갑판에 다수 함재기가 배치되고 아일랜드 구조물이 확인되어 항공모함 특징과 일치,"실제 이미지의 시각 특징으로 기존 라벨을 확인하며, 특히 DDG처럼 세부 함종을 외형만으로 확정하기 어려운 경우 판단 보류 처리"
Aircraft Carrier/Aircraft Carrier_1001.jpeg,Aircraft Carrier,Recreational,0.892,Recreational,0.962,라벨 정확,김태희,2026-09-05,전면부터 이어지는 넓은 비행갑판과 측면 아일랜드·함재기가 확인되어 항공모함과 일치,"실제 이미지의 시각 특징으로 기존 라벨을 확인하며, 특히 DDG처럼 세부 함종을 외형만으로 확정하기 어려운 경우 판단 보류 처리"
Container Ship/Container Ship_1001.jpeg,Container Ship,Bulkers,1,Bulkers,0.921,라벨 정확,김태희,2026-09-05,갑판 전반에 다수의 직사각형 컨테이너가 층층이 적재되어 컨테이너선 특징과 명확히 일치,"실제 이미지의 시각 특징으로 기존 라벨을 확인하며, 특히 DDG처럼 세부 함종을 외형만으로 확정하기 어려운 경우 판단 보류 처리"
Container Ship/Container Ship_1004.jpeg,Container Ship,Bulkers,0.995,Bulkers,0.979,라벨 정확,김태희,2026-09-05,대형 화물선 갑판에 컨테이너가 격자 형태로 대량 적재되어 Container Ship과 일치,"실제 이미지의 시각 특징으로 기존 라벨을 확인하며, 특히 DDG처럼 세부 함종을 외형만으로 확정하기 어려운 경우 판단 보류 처리"
Container Ship/Container Ship_1021.jpeg,Container Ship,Bulkers,0.991,Bulkers,0.998,라벨 정확,김태희,2026-09-05,함수 뒤쪽 갑판에 다색 컨테이너가 여러 층 적재되어 컨테이너선 특징과 일치,"실제 이미지의 시각 특징으로 기존 라벨을 확인하며, 특히 DDG처럼 세부 함종을 외형만으로 확정하기 어려운 경우 판단 보류 처리"
Container Ship/Container Ship_1011.jpeg,Container Ship,Bulkers,0.988,Bulkers,0.919,라벨 정확,김태희,2026-09-05,선체 전후에 다량의 컨테이너가 층층이 적재되어 전형적인 컨테이너선과 일치,"실제 이미지의 시각 특징으로 기존 라벨을 확인하며, 특히 DDG처럼 세부 함종을 외형만으로 확정하기 어려운 경우 판단 보류 처리"
Container Ship/Container Ship_1016.jpeg,Container Ship,Bulkers,0.98,Bulkers,0.994,라벨 정확,김태희,2026-09-05,대형 선체 갑판을 가득 채운 컨테이너 적재가 명확하여 Container Ship과 일치,"실제 이미지의 시각 특징으로 기존 라벨을 확인하며, 특히 DDG처럼 세부 함종을 외형만으로 확정하기 어려운 경우 판단 보류 처리"
Container Ship/Container Ship_1003.jpeg,Container Ship,Bulkers,0.97,Bulkers,0.878,라벨 정확,김태희,2026-09-05,대형 상선 갑판에 다수의 녹색·적색 컨테이너가 적재되어 컨테이너선과 일치,"실제 이미지의 시각 특징으로 기존 라벨을 확인하며, 특히 DDG처럼 세부 함종을 외형만으로 확정하기 어려운 경우 판단 보류 처리"
Container Ship/Container Ship_1005.jpeg,Container Ship,Bulkers,0.967,Bulkers,0.98,라벨 정확,김태희,2026-09-05,갑판에 다색 컨테이너가 밀집 적재된 대형 화물선 형상이 명확하여 Container Ship과 일치,"실제 이미지의 시각 특징으로 기존 라벨을 확인하며, 특히 DDG처럼 세부 함종을 외형만으로 확정하기 어려운 경우 판단 보류 처리"
Container Ship/Container Ship_1017.jpeg,Container Ship,Bulkers,0.848,Bulkers,0.817,라벨 정확,김태희,2026-09-05,선체 중앙에 다수 컨테이너가 적재되고 상선형 함수가 확인되어 컨테이너선과 일치,"실제 이미지의 시각 특징으로 기존 라벨을 확인하며, 특히 DDG처럼 세부 함종을 외형만으로 확정하기 어려운 경우 판단 보류 처리"
Container Ship/Container Ship_1039.jpeg,Container Ship,Bulkers,0.82,Bulkers,0.999,라벨 오류 의심,김태희,2026-09-05,갑판에 컨테이너가 없고 여러 개의 대형 화물창 덮개와 벌크 화물선형 선체가 보여 Container Ship 라벨과 불일치 가능성이 큼,"실제 이미지의 시각 특징으로 기존 라벨을 확인하며, 특히 DDG처럼 세부 함종을 외형만으로 확정하기 어려운 경우 판단 보류 처리"
Cruise/Cruise_1001.jpeg,Cruise,Recreational,1,Recreational,1,라벨 오류 의심,김태희,2026-09-05,유선형 대형 슈퍼요트 외형과 연속형 고급 데크가 두드러지고 전형적인 대형 크루즈선의 객실열·구명정 배열이 뚜렷하지 않아 Cruise 라벨은 재확인 필요,"실제 이미지의 시각 특징으로 기존 라벨을 확인하며, 특히 DDG처럼 세부 함종을 외형만으로 확정하기 어려운 경우 판단 보류 처리"
DDG/DDG_1003.jpeg,DDG,Recreational,1,Recreational,1,판단 보류,김태희,2026-09-05,회색 고속 전투정/소형 전투함 형상은 분명하지만 선체 규모가 작아 구축함(DDG)인지 시각 정보만으로 확정하기 어려움,"실제 이미지의 시각 특징으로 기존 라벨을 확인하며, 특히 DDG처럼 세부 함종을 외형만으로 확정하기 어려운 경우 판단 보류 처리"
DDG/DDG_1005.jpeg,DDG,Recreational,1,Recreational,0.948,라벨 정확,김태희,2026-09-05,"대형 회색 군함 선체와 전방 함포, 중앙 레이더 마스트가 뚜렷해 구축함형 전투함과 부합","실제 이미지의 시각 특징으로 기존 라벨을 확인하며, 특히 DDG처럼 세부 함종을 외형만으로 확정하기 어려운 경우 판단 보류 처리"
DDG/DDG_1008.jpeg,DDG,Recreational,1,Recreational,0.999,판단 보류,김태희,2026-09-05,함미 비행갑판과 군함 상부구조는 확인되지만 후방 시점만 보여 정확한 함종을 DDG로 단정하기 어려움,"실제 이미지의 시각 특징으로 기존 라벨을 확인하며, 특히 DDG처럼 세부 함종을 외형만으로 확정하기 어려운 경우 판단 보류 처리"
DDG/DDG_1012.jpeg,DDG,Recreational,1,Recreational,0.979,라벨 정확,김태희,2026-09-05,"현대식 각진 회색 군함, 전방 함포와 높은 통합형 마스트가 명확하여 DDG 범주와 부합","실제 이미지의 시각 특징으로 기존 라벨을 확인하며, 특히 DDG처럼 세부 함종을 외형만으로 확정하기 어려운 경우 판단 보류 처리"
DDG/DDG_1021.jpeg,DDG,Recreational,1,Recreational,0.731,라벨 오류 의심,김태희,2026-09-05,회색 군함이지만 선체에 F 계열 식별표기가 보이고 전반적 형상이 프리깃형에 가까워 DDG 라벨은 재확인 필요,"실제 이미지의 시각 특징으로 기존 라벨을 확인하며, 특히 DDG처럼 세부 함종을 외형만으로 확정하기 어려운 경우 판단 보류 처리"
DDG/DDG_1022.jpeg,DDG,Recreational,1,Recreational,0.992,라벨 정확,김태희,2026-09-05,"회색 전투함 선체와 전방 함포, 각진 상부구조·레이더 마스트가 확인되어 구축함형 전투함과 부합","실제 이미지의 시각 특징으로 기존 라벨을 확인하며, 특히 DDG처럼 세부 함종을 외형만으로 확정하기 어려운 경우 판단 보류 처리"
DDG/DDG_1029.jpeg,DDG,Recreational,1,Recreational,0.99,라벨 정확,김태희,2026-09-05,"회색 군함의 함수 무장과 대형 마스트, 각진 상부구조가 뚜렷해 DDG 범주와 부합","실제 이미지의 시각 특징으로 기존 라벨을 확인하며, 특히 DDG처럼 세부 함종을 외형만으로 확정하기 어려운 경우 판단 보류 처리"
DDG/DDG_1031.jpeg,DDG,Recreational,1,Recreational,0.977,라벨 오류 의심,김태희,2026-09-05,길고 유선형인 흰색·검정색 선체와 요트형 상부구조가 보이며 함포·군용 마스트가 없어 DDG보다 대형 레저/요트 선박에 가까움,"실제 이미지의 시각 특징으로 기존 라벨을 확인하며, 특히 DDG처럼 세부 함종을 외형만으로 확정하기 어려운 경우 판단 보류 처리"
DDG/DDG_1032.jpeg,DDG,Recreational,1,Recreational,0.925,라벨 정확,김태희,2026-09-05,"회색 군함 선체, 전방 함포와 중앙 레이더 마스트가 확인되어 구축함형 전투함 특징과 부합","실제 이미지의 시각 특징으로 기존 라벨을 확인하며, 특히 DDG처럼 세부 함종을 외형만으로 확정하기 어려운 경우 판단 보류 처리"
DDG/DDG_1033.jpeg,DDG,Recreational,1,Recreational,0.998,라벨 정확,김태희,2026-09-05,정면에서 대형 회색 군함 선체와 구형 레이더 돔·마스트가 확인되어 군용 구축함 범주와 부합,"실제 이미지의 시각 특징으로 기존 라벨을 확인하며, 특히 DDG처럼 세부 함종을 외형만으로 확정하기 어려운 경우 판단 보류 처리"
DDG/DDG_1035.jpeg,DDG,Recreational,1,Recreational,0.954,라벨 정확,김태희,2026-09-05,회색 스텔스 전투함 형상과 전방 무장·각진 상부구조가 확인되어 DDG 범주와 부합,"실제 이미지의 시각 특징으로 기존 라벨을 확인하며, 특히 DDG처럼 세부 함종을 외형만으로 확정하기 어려운 경우 판단 보류 처리"
DDG/DDG_1042.jpeg,DDG,Recreational,1,Recreational,0.993,라벨 정확,김태희,2026-09-05,"대형 회색 군함과 전방 함포, 높은 다기능 마스트가 명확해 구축함형 전투함과 부합","실제 이미지의 시각 특징으로 기존 라벨을 확인하며, 특히 DDG처럼 세부 함종을 외형만으로 확정하기 어려운 경우 판단 보류 처리"
DDG/DDG_1047.jpeg,DDG,Recreational,1,Recreational,0.942,라벨 정확,김태희,2026-09-05,"긴 회색 전투함 선체, 함수 무장과 복합 마스트가 보이며 구축함형 실루엣과 부합","실제 이미지의 시각 특징으로 기존 라벨을 확인하며, 특히 DDG처럼 세부 함종을 외형만으로 확정하기 어려운 경우 판단 보류 처리"
DDG/DDG_1053.jpeg,DDG,Recreational,1,Recreational,0.988,라벨 정확,김태희,2026-09-05,회색 군함 선체와 다수의 상부 무장·센서 구조가 확인되어 DDG 범주와 부합,"실제 이미지의 시각 특징으로 기존 라벨을 확인하며, 특히 DDG처럼 세부 함종을 외형만으로 확정하기 어려운 경우 판단 보류 처리"
DDG/DDG_1054.jpeg,DDG,Recreational,1,Recreational,0.932,라벨 정확,김태희,2026-09-05,각진 회색 전투함 렌더링으로 전방 함포·통합 마스트·함미 비행갑판이 확인되어 DDG 특징과 부합,"실제 이미지의 시각 특징으로 기존 라벨을 확인하며, 특히 DDG처럼 세부 함종을 외형만으로 확정하기 어려운 경우 판단 보류 처리"
DDG/DDG_1055.jpeg,DDG,Recreational,1,Recreational,0.907,라벨 정확,김태희,2026-09-05,"회색 전투함 선체와 함수 무장, 군용 레이더 마스트가 뚜렷하여 구축함형 전투함과 부합","실제 이미지의 시각 특징으로 기존 라벨을 확인하며, 특히 DDG처럼 세부 함종을 외형만으로 확정하기 어려운 경우 판단 보류 처리"
DDG/DDG_1009.jpeg,DDG,Recreational,0.999,Recreational,0.949,라벨 정확,김태희,2026-09-05,대형 회색 수상전투함으로 높은 레이더 마스트와 전방 함포가 확인되어 DDG 범주와 부합,"실제 이미지의 시각 특징으로 기존 라벨을 확인하며, 특히 DDG처럼 세부 함종을 외형만으로 확정하기 어려운 경우 판단 보류 처리"
DDG/DDG_1027.jpeg,DDG,Recreational,0.998,Recreational,0.998,판단 보류,김태희,2026-09-05,"회색 군함 선체, 함수 함포, 각진 상부구조와 레이더/마스트가 확인되어 군용 수상전투함은 명확하나, 선체에 F310 식별번호가 보여 구축함(DDG) 세부 함종은 추가 확인 필요","실제 이미지의 시각 특징으로 기존 라벨을 확인하며, 특히 DDG처럼 세부 함종을 외형만으로 확정하기 어려운 경우 판단 보류 처리"
