file_path,current_label,cnn_prediction,cnn_confidence,mnv2_prediction,mnv2_confidence,판정,검토자,검토일,비고
Container Ship/Container Ship_1017.jpeg,Container Ship,Bulkers,0.848,Bulkers,0.817,라벨 정확,김태희,2026-09-05,선체 중앙에 다수 컨테이너가 적재되고 상선형 함수가 확인되어 컨테이너선과 일치
Container Ship/Container Ship_1039.jpeg,Container Ship,Bulkers,0.82,Bulkers,0.999,라벨 오류 의심,김태희,2026-09-05,갑판에 컨테이너가 없고 여러 개의 대형 화물창 덮개와 벌크 화물선형 선체가 보여 Container Ship 라벨과 불일치 가능성이 큼
Cruise/Cruise_1001.jpeg,Cruise,Recreational,1,Recreational,1,라벨 오류 의심,김태희,2026-09-05,유선형 대형 슈퍼요트 외형과 연속형 고급 데크가 두드러지고 전형적인 대형 크루즈선의 객실열·구명정 배열이 뚜렷하지 않아 Cruise 라벨은 재확인 필요
DDG/DDG_1003.jpeg,DDG,Recreational,1,Recreational,1,판단 보류,김태희,2026-09-05,회색 고속 전투정/소형 전투함 형상은 분명하지만 선체 규모가 작아 구축함(DDG)인지 시각 정보만으로 확정하기 어려움
DDG/DDG_1005.jpeg,DDG,Recreational,1,Recreational,0.948,라벨 정확,김태희,2026-09-05,"대형 회색 군함 선체와 전방 함포, 중앙 레이더 마스트가 뚜렷해 구축함형 전투함과 부합"
DDG/DDG_1008.jpeg,DDG,Recreational,1,Recreational,0.999,판단 보류,김태희,2026-09-05,함미 비행갑판과 군함 상부구조는 확인되지만 후방 시점만 보여 정확한 함종을 DDG로 단정하기 어려움
DDG/DDG_1012.jpeg,DDG,Recreational,1,Recreational,0.979,라벨 정확,김태희,2026-09-05,"현대식 각진 회색 군함, 전방 함포와 높은 통합형 마스트가 명확하여 DDG 범주와 부합"
DDG/DDG_1021.jpeg,DDG,Recreational,1,Recreational,0.731,라벨 오류 의심,김태희,2026-09-05,회색 군함이지만 선체에 F 계열 식별표기가 보이고 전반적 형상이 프리깃형에 가까워 DDG 라벨은 재확인 필요
DDG/DDG_1022.jpeg,DDG,Recreational,1,Recreational,0.992,라벨 정확,김태희,2026-09-05,"회색 전투함 선체와 전방 함포, 각진 상부구조·레이더 마스트가 확인되어 구축함형 전투함과 부합"
DDG/DDG_1029.jpeg,DDG,Recreational,1,Recreational,0.99,라벨 정확,김태희,2026-09-05,"회색 군함의 함수 무장과 대형 마스트, 각진 상부구조가 뚜렷해 DDG 범주와 부합"
DDG/DDG_1031.jpeg,DDG,Recreational,1,Recreational,0.977,라벨 오류 의심,김태희,2026-09-05,길고 유선형인 흰색·검정색 선체와 요트형 상부구조가 보이며 함포·군용 마스트가 없어 DDG보다 대형 레저/요트 선박에 가까움
DDG/DDG_1032.jpeg,DDG,Recreational,1,Recreational,0.925,라벨 정확,김태희,2026-09-05,"회색 군함 선체, 전방 함포와 중앙 레이더 마스트가 확인되어 구축함형 전투함 특징과 부합"
DDG/DDG_1033.jpeg,DDG,Recreational,1,Recreational,0.998,라벨 정확,김태희,2026-09-05,정면에서 대형 회색 군함 선체와 구형 레이더 돔·마스트가 확인되어 군용 구축함 범주와 부합
DDG/DDG_1035.jpeg,DDG,Recreational,1,Recreational,0.954,라벨 정확,김태희,2026-09-05,회색 스텔스 전투함 형상과 전방 무장·각진 상부구조가 확인되어 DDG 범주와 부합
DDG/DDG_1042.jpeg,DDG,Recreational,1,Recreational,0.993,라벨 정확,김태희,2026-09-05,"대형 회색 군함과 전방 함포, 높은 다기능 마스트가 명확해 구축함형 전투함과 부합"
DDG/DDG_1047.jpeg,DDG,Recreational,1,Recreational,0.942,라벨 정확,김태희,2026-09-05,"긴 회색 전투함 선체, 함수 무장과 복합 마스트가 보이며 구축함형 실루엣과 부합"
DDG/DDG_1053.jpeg,DDG,Recreational,1,Recreational,0.988,라벨 정확,김태희,2026-09-05,회색 군함 선체와 다수의 상부 무장·센서 구조가 확인되어 DDG 범주와 부합
DDG/DDG_1054.jpeg,DDG,Recreational,1,Recreational,0.932,라벨 정확,김태희,2026-09-05,각진 회색 전투함 렌더링으로 전방 함포·통합 마스트·함미 비행갑판이 확인되어 DDG 특징과 부합
DDG/DDG_1055.jpeg,DDG,Recreational,1,Recreational,0.907,라벨 정확,김태희,2026-09-05,"회색 전투함 선체와 함수 무장, 군용 레이더 마스트가 뚜렷하여 구축함형 전투함과 부합"
DDG/DDG_1009.jpeg,DDG,Recreational,0.999,Recreational,0.949,라벨 정확,김태희,2026-09-05,대형 회색 수상전투함으로 높은 레이더 마스트와 전방 함포가 확인되어 DDG 범주와 부합
DDG/DDG_1027.jpeg,DDG,Recreational,0.998,Recreational,0.998,판단 보류,김태희,2026-09-05,"회색 군함 선체, 함수 함포, 각진 상부구조와 레이더/마스트가 확인되어 군용 수상전투함은 명확하나, 선체에 F310 식별번호가 보여 구축함(DDG) 세부 함종은 추가 확인 필요"
