file_path,current_label,cnn_prediction,cnn_confidence,mnv2_prediction,mnv2_confidence,판정,검토자,검토일,비고
Sailboat/Sailboat_1001.jpeg,Sailboat,Recreational,0.999,Recreational,0.995,라벨 정확,이재혁,2026-09-05,"대형 마스트와 다수의 흰색 돛, 범선형 선체가 뚜렷하여 Sailboat와 일치"
Sailboat/Sailboat_1005.jpeg,Sailboat,Recreational,0.999,Recreational,0.973,라벨 정확,이재혁,2026-09-05,여러 척의 전통 범선과 다수의 돛·마스트가 명확히 보이므로 Sailboat 범주와 일치
Sailboat/Sailboat_1032.jpeg,Sailboat,Recreational,0.999,Recreational,0.96,라벨 정확,이재혁,2026-09-05,복수 마스트와 삼각형·사각형 돛을 펼친 범선으로 Sailboat 특징과 일치
Sailboat/Sailboat_1018.jpeg,Sailboat,Recreational,0.966,Recreational,0.855,라벨 정확,이재혁,2026-09-05,여러 개의 높은 마스트와 층층이 배치된 돛을 가진 대형 범선이 확인되어 Sailboat와 일치
Sailboat/Sailboat_1042.jpeg,Sailboat,Bulkers,0.962,Bulkers,0.951,라벨 정확,이재혁,2026-09-05,회화 이미지이지만 다수의 마스트와 대형 돛을 갖춘 전통 범선이 명확하여 Sailboat와 일치
Submarine/Submarine_1021.jpeg,Submarine,Recreational,0.927,Recreational,0.831,라벨 정확,이재혁,2026-09-05,수면 위 낮게 드러난 유선형 원통 선체와 중앙 세일(함교탑)이 뚜렷해 잠수함 특징과 일치
Tug/Tug_1004.jpeg,Tug,Recreational,1.0,Recreational,0.994,라벨 정확,이재혁,2026-09-05,"짧고 넓은 작업선 선체, 높은 조타실과 선측 고무 방현재가 확인되어 예인선 특징과 일치"
Tug/Tug_1029.jpeg,Tug,Recreational,1.0,Recreational,0.935,라벨 정확,이재혁,2026-09-05,소형 작업선에 높은 조타실과 선체 둘레의 타이어형 방현재가 보여 Tug 특징과 일치
Tug/Tug_1033.jpeg,Tug,Recreational,1.0,Recreational,0.998,라벨 정확,이재혁,2026-09-05,"짧은 선체와 높은 조타실, 두꺼운 선측 방현재를 갖춘 전형적인 예인선 형상과 일치"
Tug/Tug_1013.jpeg,Tug,Recreational,0.998,Recreational,0.767,라벨 정확,이재혁,2026-09-05,"소형 작업선 선체와 높은 조타실, 선측 펜더·작업 갑판이 확인되어 Tug 특징과 일치"
Tug/Tug_1021.jpeg,Tug,Recreational,0.992,Recreational,0.766,라벨 정확,이재혁,2026-09-05,"짧고 넓은 소형 선체, 높은 조타실과 검은 방현재가 뚜렷해 예인선과 일치"
Tug/Tug_1020.jpeg,Tug,Bulkers,0.957,Bulkers,0.984,라벨 정확,이재혁,2026-09-05,소형 예인 작업선의 높은 조타실과 선체 주위 타이어형 펜더가 확인되어 Tug와 일치
Tug/Tug_1010.jpeg,Tug,Recreational,0.945,Recreational,0.753,라벨 정확,이재혁,2026-09-05,검은 선체의 소형 작업선으로 높은 조타실과 두꺼운 방현재가 보여 Tug 특징과 일치
Tug/Tug_1005.jpeg,Tug,Recreational,0.905,Recreational,0.97,라벨 정확,이재혁,2026-09-05,"짧은 선체, 높은 조타실과 선측 고무 펜더가 뚜렷하여 예인선 특징과 일치"
Tug/Tug_1031.jpeg,Tug,Bulkers,0.783,Bulkers,0.99,라벨 정확,이재혁,2026-09-05,소형 작업선의 높은 조타실과 선체 둘레 다수의 타이어형 방현재가 명확하여 Tug와 일치
